18-April-2009:04 PM,Cape Town,Rajasthan Royals,Royal Challengers Bangalore
18-April-2009:08 PM,Cape Town,Mumbai Indians,Chennai SuperKings
19-April-2009:04 PM,Cape Town,Kolkata KnightRiders,Deccan Chargers
19-April-2009:08 PM,Cape Town,Delhi DareDevils,Kings XI Punjab
20-April-2009:04 PM,Port Elizabeth,Royal Challengers Bangalore,Chennai SuperKings
21-April-2009:04 PM,Durban,Rajasthan Royals,Mumbai Indians
21-April-2009:08 PM,Durban,Kolkata KnightRiders,Kings XI Punjab
22-April-2009:04 PM,Durban,Delhi DareDevils,Chennai SuperKings
22-April-2009:08 PM,Cape Town,Royal Challengers Bangalore,Deccan Chargers
23-April-2009:04 PM,Port Elizabeth,Kolkata KnightRiders,Rajasthan Royals
24-April-2009:04 PM,Johannesburg,Kings XI Punjab,Royal Challengers Bangalore
25-April-2009:04 PM,Cape Town,Kolkata KnightRiders,Chennai SuperKings
25-April-2009:08 PM,Durban,Deccan Chargers,Mumbai Indians
26-April-2009:04 PM,Cape Town,Rajasthan Royals,Kings XI Punjab
26-April-2009:08 PM,Port Elizabeth,Royal Challengers Bangalore,Delhi DareDevils
27-April-2009:04 PM,Cape Town,Kolkata KnightRiders,Mumbai Indians
27-April-2009:08 PM,Durban,Chennai SuperKings,Deccan Chargers
28-April-2009:04 PM,Pretoria,Delhi DareDevils,Rajasthan Royals
29-April-2009:04 PM,Durban,Mumbai Indians,Kings XI Punjab
29-April-2009:08 PM,Durban,Kolkata KnightRiders,Royal Challengers Bangalore
30-April-2009:04 PM,Pretoria,Delhi DareDevils,Deccan Chargers
30-April-2009:08 PM,Pretoria,Rajasthan Royals,Chennai SuperKings
01-May-2009:04 PM,East London,Royal Challengers Bangalore,Kings XI Punjab
01-May-2009:08 PM,Durban,Mumbai Indians,Kolkata KnightRiders
02-May-2009:04 PM,Johannesburg,Rajasthan Royals,Deccan Chargers
02-May-2009:08 PM,Port Elizabeth,Chennai SuperKings,Deccan Chargers
03-May-2009:04 PM,Durban,Mumbai Indians,Royal Challengers Bangalore
03-May-2009:08 PM,East London,Kings XI Punjab,Kolkata KnightRiders
04-May-2009:04 PM,Port Elizabeth,Deccan Chargers,Chennai SuperKings
05-May-2009:04 PM,Durban,Delhi DareDevils,Kolkata KnightRiders
05-May-2009:08 PM,Durban,Kings XI Punjab,Rajasthan Royals
06-May-2009:04 PM,Pretoria,Mumbai Indians,Deccan Chargers
07-May-2009:04 PM,Pretoria,Kings XI Punjab,Chennai SuperKings
07-May-2009:08 PM,Pretoria,Royal Challengers Bangalore,Rajasthan Royals
08-May-2009:04 PM,East London,Delhi DareDevils,Mumbai Indians
09-May-2009:04 PM,Bloemfontein,Deccan Chargers,Kings XI Punjab
09-May-2009:08 PM,Port Elizabeth,Chennai SuperKings,Rajasthan Royals
10-May-2009:04 PM,East London,Kolkata KnightRiders,Delhi DareDevils
10-May-2009:08 PM,Johannesburg,Royal Challengers Bangalore,Mumbai Indians
11-May-2009:04 PM,Bloemfontein,Deccan Chargers,Rajasthan Royals
12-May-2009:04 PM,Pretoria,Royal Challengers Bangalore,Kolkata KnightRiders
12-May-2009:08 PM,Pretoria,Kings XI Punjab,Mumbai Indians
13-May-2009:04 PM,Durban,Deccan Chargers,Delhi DareDevils
14-May-2009:04 PM,Durban,Mumbai Indians,Rajasthan Royals
14-May-2009:08 PM,Durban,Chennai SuperKings,Royal Challengers Bangalore
15-May-2009:04 PM,Kimberley,Kings XI Punjab,Delhi DareDevils
16-May-2009:04 PM,Johannesburg,Chennai SuperKings,Mumbai Indians
16-May-2009:08 PM,Port Elizabeth,Deccan Chargers,Kolkata KnightRiders
17-May-2009:04 PM,Kimberley,Rajasthan Royals,Delhi DareDevils
17-May-2009:08 PM,Johannesburg,Kings XI Punjab,Deccan Chargers
18-May-2009:04 PM,Pretoria,Chennai SuperKings,Kolkata KnightRiders
19-May-2009:04 PM,Johannesburg,Delhi DareDevils,Royal Challengers Bangalore
20-May-2009:04 PM,Durban,Chennai SuperKings,Kings XI Punjab
20-May-2009:08 PM,Durban,Rajasthan Royals,Kolkata KnightRiders
21-May-2009:04 PM,Pretoria,Deccan Chargers,Royal Challengers Bangalore
21-May-2009:08 PM,Pretoria,Mumbai Indians,Delhi DareDevils
