Suresh Kumar,03/20/85,India,Right Hand Batsman,Right arm off-break,,Chennai SuperKings,0,0
Saurabh Bandekar,11/16/87,India,Right hand Batsman,Right arm medium-fast Bowler,,Royal Challengers Bangalore,0,0
Raju Bhatkal,09/01/85,India,Right hand Batsman,Right arm Bowler,,Royal Challengers Bangalore,0,0
Muralidharen Gautam,03/08/86,India,Right hand Batsman,,Wicket-keeper,Royal Challengers Bangalore,0,0
George Bailey,09/07/82,Australia,Right hand Batsman,,,Chennai SuperKings,0,0
Bhuvneshwar Kumar,12/05/90,India,,Right Arm medium pacer,,Royal Challengers Bangalore,0,0
Anureet Singh,03/02/88,India,Right Hand Batsman,Right arm medium Bowler,,Kolkata KnightRiders,0,0
Abhinav Kumar,11/07/84,India,Right Hand Batsman,,,Deccan Chargers,0,0
Jerome Taylor,06/22/84,West Indies,Right Hand Batsman,Right arm fast,,Kings XI Punjab,0,0
Mohammad Kaif,12/01/80,India,Right Hand Batsman,,,Rajasthan Royals,0,0
Abhinav Mukund,01/06/90,India,Left hand Batsman,,,Chennai SuperKings,0,0
Lee Carseldine,11/17/75,Australia,Left Hand Batsman,Left arm medium,,Rajasthan Royals,0,0
Vidyut Sivaramakrishnan,12/03/81,India,Left Hand Batsman,Slow left-arm orthodox,,Chennai SuperKings,0,0
P.M. Sarvesh Kumar,04/26/89,India,,Right Arm medium,,Deccan Chargers,0,0
Amit Singh,06/21/81,India,,Right arm medium fast,,Rajasthan Royals,0,0
Jesse Ryder,08/06/84,New Zealand,Left hand Batsman,Right arm medium Bowler,,Royal Challengers Bangalore,0,0
Nathan Bracken,09/12/77,Australia,,Left arm fast medium Bowler,,Royal Challengers Bangalore,0,0
Suresh Raina,11/27/86,India,Left Hand Batsman,,,Chennai SuperKings,0,0
Stephen Fleming,04/01/73,New Zealand,Left Hand Batsman,,,Chennai SuperKings,0,0
Arun Karthik,02/15/86,India,Right Hand Batsman,,,Chennai SuperKings,0,0
Tillakaratne Dilshan,10/14/76,Sri Lanka,Right Hand Batsman,,Wicket keeper,Delhi DareDevils,0,0
Ashish Nehra,04/29/79,India,,Left arm medium fast Bowler,,Delhi DareDevils,0,0
Brendon McCullum,09/27/81,New Zealand,Right Hand Batsman,,Wicket Keeper,Kolkata KnightRiders,0,0
Shreevats Goswami,05/18/89,India,Left Hand Batsman,,Wicket-keeper,Royal Challengers Bangalore,0,0
Chetan Suryavanshi,02/24/85,India,Right Hand Batsman,,Wicket Keeper,Kolkata KnightRiders,0,0
Albie Morkel,06/10/81,South Africa,Left hand Batsman,Right arm Medium fast bowler,,Chennai SuperKings,0,0
Gaurav Chabra,11/19/87,India,Right Hand Batsman,,,Kolkata KnightRiders,0,0
