18-April-2009:4 pm,Cape Town,Rajasthan Royals,Royal Challengers Bangalore 
18-April-2009:8 pm,Cape Town,Mumbai Indians,Chennai Super Kings 
19-April-2009:4 pm,Cape Town,Kolkata Knight Riders,Deccan Chargers 
19-April-2009:8 pm,Cape Town,Delhi Daredevils,Kings XI Punjab 
20-April-2009:4 pm,Port Elizabeth,Royal Challengers Bangalore,Chennai Super Kings 
21-April-2009:4 pm,Durban,Rajasthan Royals,Mumbai Indians 
21-April-2009:8 pm,Durban,Kolkata Knight Riders,Kings XI Punjab 
22-April-2009:4 pm,Durban,Delhi Daredevils,Chennai Super Kings 
22-April-2009:8 pm,Cape Town,Royal Challengers Bangalore,Deccan Chargers 
23-April-2009:4 pm,Port Elizabeth,Kolkata Knight Riders,Rajasthan Royals 
24-April-2009:4 pm,Johannesburg,Kings XI Punjab,Royal Challengers Bangalore 
25-April-2009:4 pm,Cape Town,Kolkata Knight Riders,Chennai Super Kings 
25-April-2009:8 pm,Durban,Deccan Chargers,Mumbai Indians 
26-April-2009:4 pm,Cape Town,Rajasthan Royals,Kings XI Punjab 
26-April-2009:8 pm,Port Elizabeth,Royal Challengers Bangalore,Delhi Daredevils 
27-April-2009:4 pm,Cape Town,Kolkata Knight Riders,Mumbai Indians 
27-April-2009:8 pm,Durban,Chennai Super Kings,Deccan Chargers 
28-April-2009:4 pm,Pretoria,Delhi Daredevils,Rajasthan Royals 
29-April-2009:4 pm,Durban,Mumbai Indians,Kings XI Punjab 
29-April-2009:8 pm,Durban,Kolkata Knight Riders,Royal Challengers Bangalore 
30-April-2009:4 pm,Pretoria,Delhi Daredevils,Deccan Chargers 
30-April-2009:8 pm,Pretoria,Rajasthan Royals,Chennai Super Kings 
1-May-2009:4 pm,East London,Royal Challengers Bangalore,Kings XI Punjab 
1-May-2009:8 pm,Durban,Mumbai Indians,Kolkata Knight Riders 
2-May-2009:4 pm,Johannesburg,Rajasthan Royals,Deccan Chargers 
2-May-2009:8 pm,Port Elizabeth,Chennai Super Kings,Deccan Chargers 
3-May-2009:4 pm,Durban,Mumbai Indians,Royal Challengers Bangalore 
3-May-2009:8 pm,East London,Kings XI Punjab,Kolkata Knight Riders 
4-May-2009:4 pm,Port Elizabeth,Deccan Chargers,Chennai Super Kings 
5-May-2009:4 pm,Durban,Delhi Daredevils,Kolkata Knight Riders 
5-May-2009:8 pm,Durban,Kings XI Punjab,Rajasthan Royals 
6-May-2009:4 pm,Pretoria,Mumbai Indians,Deccan Chargers 
7-May-2009:4 pm,Pretoria,Kings XI Punjab,Chennai Super Kings 
7-May-2009:8 pm,Pretoria,Royal Challengers Bangalore,Rajasthan Royals 
8-May-2009:4 pm,East London,Delhi Daredevils,Mumbai Indians 
9-May-2009:4 pm,Bloemfontein,Deccan Chargers,Kings XI Punjab 
9-May-2009:8 pm,Port Elizabeth,Chennai Super Kings,Rajasthan Royals 
10-May-2009:4 pm,East London,Kolkata Knight Riders,Delhi Daredevils 
10-May-2009:8 pm,Johannesburg,Royal Challengers Bangalore,Mumbai Indians 
11-May-2009:4 pm,Bloemfontein,Deccan Chargers,Rajasthan Royals 
12-May-2009:4 pm,Pretoria,Royal Challengers Bangalore,Kolkata Knight Riders 
12-May-2009:8 pm,Pretoria,Kings XI Punjab,Mumbai Indians 
13-May-2009:4 pm,Durban,Deccan Chargers,Delhi Daredevils 
14-May-2009:4 pm,Durban,Mumbai Indians,Rajasthan Royals 
14-May-2009:8 pm,Durban,Chennai Super Kings,Royal Challengers Bangalore 
15-May-2009:4 pm,Kimberley,Kings XI Punjab,Delhi Daredevils 
16-May-2009:4 pm,Johannesburg,Chennai Super Kings,Mumbai Indians 
16-May-2009:8 pm,Port Elizabeth,Deccan Chargers,Kolkata Knight Riders 
17-May-2009:4 pm,Kimberley,Rajasthan Royals,Delhi Daredevils 
17-May-2009:8 pm,Johannesburg,Kings XI Punjab,Deccan Chargers 
18-May-2009:4 pm,Pretoria,Chennai Super Kings,Kolkata Knight Riders 
19-May-2009:4 pm,Johannesburg,Delhi Daredevils,Royal Challengers Bangalore 
20-May-2009:4 pm,Durban,Chennai Super Kings,Kings XI Punjab 
20-May-2009:8 pm,Durban,Rajasthan Royals,Kolkata Knight Riders 
21-May-2009:4 pm,Pretoria,Deccan Chargers,Royal Challengers Bangalore 
21-May-2009:8 pm,Pretoria,Mumbai Indians,Delhi Daredevils 
